Date,Returns
2020-10-26,-0.024001293943823537
2020-10-27,-0.012436358866561331
2020-10-28,-0.02273372232874136
2020-10-29,0.0027098225316314613
2020-10-30,-0.005205262347351902
2020-10-31,0.0
2020-11-01,0.0
2020-11-02,0.025803101326297692
2020-11-03,0.023133446696458167
2020-11-04,0.03488304141744245
2020-11-05,0.025142340768106796
2020-11-06,-0.02008861830266421
2020-11-07,0.0
2020-11-08,0.0
2020-11-09,0.016826808094970464
2020-11-10,-0.00815152155057252
2020-11-11,0.015034194596653097
2020-11-12,-0.016253452252007694
2020-11-13,0.015039064356587598
2020-11-14,0.0
2020-11-15,0.0
2020-11-16,0.009872134897529361
2020-11-17,-0.013298351115206396
2020-11-18,0.0035778870555824953
2020-11-19,0.00533216695363923
2020-11-20,-0.00114946259113889
